Goods,AgntI,AgntII,AgntIII,AgntIV,AgntV,AgntVI,AgntVII,AgntVIII,AgntXI,AgntX
GI,-1.3019,-1.1564,-1.2475,-1.4159,-1.0023,-1.0849,-1.0574,-1.1368,-1.1728,-1.1049
GII,-1.0781,-1.1317,-1.1467,-1.1812,-1.0753,-1.1296,-1.0518,-1.2622,-1.4563,-1.0043
GIII,-1.174,-1.2393,-1.3803,-1.6225,-1.2069,-1.4132,-1.1642,-1.2113,-1.0864,-1.2171
GIV,-1.05,-1.4308,-1.0572,-1.15,-1.1239,-1.5053,-1.0027,-1.0991,-1.014,-1.1207
GV,-1.1263,-1.1096,-1.0055,-1.4004,-1.1074,-1.2372,-1.0873,-1.1575,-1.1279,-1.1831
GVI,-1.2331,-1.3235,-1.29,-1.3886,-1.2001,-1.1467,-1.0919,-1.3639,-1.0429,-1.3303
GVII,-1.2537,-1.1917,-1.0221,-1.1541,-1.0905,-1.0848,-1.0676,-1.3355,-1.0816,-1.2379
GVIII,-1.3179,-1.027,-1.3907,-1.5398,-1.385,-1.1167,-1.0341,-1.2804,-1.3582,-1.2337
GIX,-1.0217,-1.1862,-1.0185,-1.0377,-1.2358,-1.2723,-1.082,-1.3589,-1.1081,-1.0414
GX,-1.3077,-1.0681,-1.2484,-1.3246,-1.3435,-1.0004,-1.0802,-1.3431,-1.3213,-1.2062
